date,stock_code,industry,weight_pct,asset_value,type_asset
2025-04-01,MWG,Bán lẻ,6.7,5472000000,STOCK
2025-04-01,MBB,Ngân hàng,5.77,4710000000,STOCK
2025-04-01,HPG,Vật liệu,3.12,2550000000,STOCK
2025-04-01,VEA,Sản xuất,2.38,1945000000,STOCK
2025-04-01,CTG,Ngân hàng,2.28,1860000000,STOCK
2025-04-01,VCB,Ngân hàng,2.11,1719000000,STOCK
2025-04-01,SSI,Chứng khoán,1.69,1377000000,STOCK
2025-04-01,BVH,Bảo hiểm,1.13,919000000,STOCK
2025-05-01,MBB,Ngân hàng,7.25,4870000000,STOCK
2025-05-01,TCB,Ngân hàng,7.25,4872000000,STOCK
2025-05-01,MWG,Bán lẻ,5.54,3726000000,STOCK
2025-05-01,HPG,Vật liệu,5.33,3584400000,STOCK
2025-05-01,VEA,Sản xuất,4.67,3136000000,STOCK
2025-05-01,ACB,Ngân hàng,4.58,3080600000,STOCK
2025-05-01,VPB,Ngân hàng,4.41,2961750000,STOCK
2025-05-01,QNS,Thực phẩm,4.25,2856000000,STOCK
2025-05-01,PHR,Ô tô,4.2,2821500000,STOCK
2025-05-01,BVH,Bảo hiểm,4.14,2783000000,STOCK
2025-05-01,STB,Ngân hàng,3.94,2645500000,STOCK
2025-05-01,SSI,Chứng khoán,3.84,2579500000,STOCK
2025-05-01,CTG,Ngân hàng,3.7,2489500000,STOCK
2025-05-01,FPT,Công nghệ,3.47,2330000000,STOCK
2025-05-01,VCB,Ngân hàng,2.52,1692000000,STOCK
2025-05-01,PNJ,Bán lẻ,2.45,1650000000,STOCK
2025-05-01,NLG,BĐS,2.3,1544000000,STOCK
2025-05-01,VCI,Chứng khoán,1.61,1080000000,STOCK
2025-05-01,PVS,Dầu khí,1.43,962500000,STOCK
2025-05-01,DXG,BĐS,1.35,905000000,STOCK
2025-05-01,BMP,Xây dựng,1.02,685000000,STOCK
2025-05-01,DPG,Xây dựng,1.02,687000000,STOCK
2025-05-01,DCM,Vật liệu,0.98,662000000,STOCK
2025-05-01,MCH,Bán lẻ,0.95,637500000,STOCK
2025-05-01,VND,Chứng khoán,0.93,628000000,STOCK
2025-06-01,TCB,Ngân hàng,7.87,5472000000,STOCK
2025-06-01,MBB,Ngân hàng,7.42,5160000000,STOCK
2025-06-01,VPB,Ngân hàng,5.72,3977500000,STOCK
2025-06-01,MWG,Bán lẻ,5.65,3930000000,STOCK
2025-06-01,HPG,Vật liệu,5.45,3791808000,STOCK
2025-06-01,PHR,Ô tô,4.83,3355000000,STOCK
2025-06-01,VEA,Sản xuất,4.52,3144000000,STOCK
2025-06-01,ACB,Ngân hàng,4.47,3109800000,STOCK
2025-06-01,STB,Ngân hàng,4.37,3035500000,STOCK
2025-06-01,BVH,Bảo hiểm,4.2,2920500000,STOCK
2025-06-01,QNS,Thực phẩm,4.11,2856000000,STOCK
2025-06-01,CTG,Ngân hàng,3.92,2723500000,STOCK
2025-06-01,FPT,Công nghệ,3.4,2364000000,STOCK
2025-06-01,HDG,BĐS,2.73,1901250000,STOCK
2025-06-01,VCB,Ngân hàng,2.46,1710000000,STOCK
2025-06-01,PNJ,Bán lẻ,2.39,1662000000,STOCK
2025-06-01,NTP,Xây dựng,2.26,1572000000,STOCK
2025-06-01,SSI,Chứng khoán,2.13,1482000000,STOCK
2025-06-01,SAB,Đồ uống,1.69,1175000000,STOCK
2025-06-01,PVS,Dầu khí,1.66,1151500000,STOCK
2025-06-01,VCI,Chứng khoán,1.54,1072500000,STOCK
2025-06-01,GAS,Dầu khí,1.46,1017000000,STOCK
2025-06-01,NLG,BĐS,1.12,782000000,STOCK
2025-06-01,BMP,Xây dựng,1.01,701500000,STOCK
2025-06-01,DPG,Xây dựng,1.0,694400000,STOCK
