date,price
2019-08-09,10000
2019-08-21,9997.36
2019-08-28,10000.97
2019-08-31,10006.39
2019-09-04,10009.46
2019-09-11,10017.05
2019-09-18,10024.53
2019-09-25,10033.69
2019-09-30,10042.23
2019-10-02,10043.64
2019-10-09,10053.5
2019-10-16,10063.4
2019-10-23,10068.71
2019-10-30,10078.42
2019-10-31,10079.72
2019-11-06,10085.89
2019-11-13,10095.81
2019-11-20,10107.57
2019-11-27,10119.37
2019-11-30,10123.53
2019-12-04,10129.81
2019-12-11,10137.79
2019-12-18,10156.7
2019-12-25,10169.4
2019-12-31,10168.96
2020-01-02,10170.93
2020-01-08,10190.62
2020-01-15,10202.75
2020-01-22,10217.92
2020-01-30,10231.44
2020-01-31,10238.37
2020-02-05,10242.82
2020-02-12,10256.97
2020-02-19,10266.64
2020-02-26,10278.41
2020-02-29,10285.14
2020-03-04,10290.91
2020-03-11,10300.74
2020-03-18,10306.86
2020-03-25,10319.37
2020-03-31,10338.9
2020-04-08,10351.46
2020-04-15,10365.81
2020-04-22,10376.54
2020-04-29,10359.99
2020-04-30,10359.78
2020-05-06,10370.91
2020-05-13,10404.57
2020-05-20,10414.57
2020-05-27,10427.58
2020-05-31,10439.11
2020-06-03,10439.69
2020-06-10,10455.37
2020-06-17,10464.55
2020-06-24,10470.36
2020-07-01,10496.13
2020-07-08,10511.61
2020-07-15,10527.81
2020-07-22,10539.38
2020-07-29,10550.5
2020-07-31,10554.79
2020-08-05,10570.78
2020-08-12,10581.5
2020-08-19,10583.04
2020-08-26,10595.15
2020-08-31,10605.47
2020-09-03,10613.55
2020-09-09,10595.68
2020-09-16,10637.59
2020-09-23,10659.36
2020-09-30,10669.04
2020-09-30,10672.22
2020-10-07,10682.58
2020-10-14,10699.5
2020-10-21,10703.45
2020-10-28,10721.34
2020-10-31,10727.08
2020-11-04,10736.36
2020-11-11,10746.45
2020-11-18,10753.91
2020-11-25,10780.32
2020-11-30,10782.76
2020-12-02,10786.86
2020-12-09,10794.96
2020-12-16,10811.21
2020-12-23,10823.91
2020-12-30,10831.13
2020-12-31,10836
2021-01-06,10843.75
2021-01-13,10857.54
2021-01-20,10863.31
2021-01-27,10873.53
2021-01-31,10905.04
2021-02-03,10912.75
2021-02-10,10921.77
2021-02-17,10908.56
2021-02-24,10914.24
2021-02-28,10936.56
2021-03-03,10935.35
2021-03-10,10950.49
2021-03-17,10956.51
2021-03-24,10996.36
2021-03-31,11006.47
2021-03-31,11012.77
2021-04-07,10993.03
