date,price
2021-12-09,9997.98
2021-12-13,9995.3
2021-12-14,9994.61
2021-12-15,9993.92
2021-12-16,9996.5
2021-12-17,9971.92
2021-12-20,9992.81
2021-12-21,9943.91
2021-12-22,9957.35
2021-12-23,9940.72
2021-12-24,9823.6
2021-12-27,9917.72
2021-12-28,9947.14
2021-12-29,9961.94
2021-12-30,9905.11
2021-12-31,9920.72
2022-01-02,9992.03
2022-01-04,9990.09
2022-01-05,10083.78
2022-01-06,10066.65
2022-01-07,10088.69
2022-01-10,10057.65
2022-01-11,9951.52
2022-01-12,9847.18
2022-01-13,9954.96
2022-01-14,9931.1
2022-01-14,9931.1
2022-01-17,9889.43
2022-01-18,9632.47
2022-01-19,9621.13
2022-01-20,9675.76
2022-01-21,9740.48
2022-01-24,9777.98
2022-01-25,9615.83
2022-01-26,9826.51
2022-01-27,9883.96
2022-01-28,9875.33
2022-01-31,9972.38
2022-02-02,9971.05
2022-02-07,9968.38
2022-02-08,10091.71
2022-02-09,10192.87
2022-02-10,10261.48
2022-02-11,10262.5
2022-02-14,10241.85
2022-02-15,10072.33
2022-02-16,10164.45
2022-02-17,10186.19
2022-02-18,10277.99
2022-02-21,10219.85
2022-02-22,10289.98
2022-02-23,10349.68
2022-02-24,10393.42
2022-02-25,10251.05
2022-02-28,10257.05
2022-03-01,10204.45
2022-03-02,10211.55
2022-03-03,10104.56
2022-03-04,10249.05
2022-03-07,10277.76
2022-03-08,10211.99
2022-03-09,10097.38
2022-03-10,10112.26
2022-03-11,10132.08
2022-03-14,10042.88
2022-03-15,9924.06
2022-03-16,9950.09
2022-03-17,9984.59
2022-03-18,9992.16
2022-03-21,10044.51
2022-03-22,10148.62
2022-03-23,10200.35
2022-03-24,10174.41
2022-03-25,10150.04
2022-03-28,10215.25
2022-03-29,10279.66
2022-03-30,10483.57
2022-03-31,10456.2
2022-04-01,10461.13
2022-04-04,10516.35
2022-04-05,10497.57
2022-04-06,10461.07
2022-04-07,10523.99
2022-04-08,10493.94
2022-04-12,10457.84
2022-04-13,10349.94
2022-04-14,10405.75
2022-04-15,10420.93
2022-04-18,10339.56
2022-04-19,10256.51
2022-04-20,10147.19
2022-04-21,10098.35
2022-04-22,10047.28
2022-04-25,10081.06
2022-04-26,9604.08
